,CADENA,ESTADO,SITUACION
0,1.0.139.136:8080,NO USO,NUEVO
1,1.0.185.124:8080,NO USO,NUEVO
2,1.10.133.137:8080,NO USO,NUEVO
3,1.10.133.48:8080,NO USO,NUEVO
4,1.10.185.8:42106,NO USO,NUEVO
5,1.10.186.219:58989,NO USO,NUEVO
6,1.10.187.128:57434,NO USO,NUEVO
7,1.10.187.221:33042,NO USO,NUEVO
8,1.10.187.232:36819,NO USO,NUEVO
9,1.10.187.241:58364,NO USO,NUEVO
10,1.10.187.61:34783,NO USO,NUEVO
11,1.10.188.214:42594,NO USO,NUEVO
12,1.10.188.25:8080,NO USO,NUEVO
13,1.10.188.85:8080,NO USO,NUEVO
14,1.10.189.111:30473,NO USO,NUEVO
15,1.10.189.113:50058,NO USO,NUEVO
16,1.10.189.141:33933,NO USO,NUEVO
17,1.10.189.153:8080,NO USO,NUEVO
18,1.10.189.157:47921,NO USO,NUEVO
19,1.10.189.66:49098,NO USO,NUEVO
20,1.10.189.68:60400,NO USO,NUEVO
21,1.179.151.145:46997,NO USO,NUEVO
22,1.179.157.237:46178,NO USO,NUEVO
23,1.179.181.149:8080,NO USO,NUEVO
24,1.179.183.89:8080,NO USO,NUEVO
25,1.179.184.158:56633,NO USO,NUEVO
26,1.179.206.161:56057,NO USO,NUEVO
27,1.186.192.242:37562,NO USO,NUEVO
28,1.2.169.101:47477,NO USO,NUEVO
29,1.2.169.34:8080,NO USO,NUEVO
30,1.2.169.54:35782,NO USO,NUEVO
31,1.2.169.60:49560,NO USO,NUEVO
32,1.20.100.100:40734,NO USO,NUEVO
33,1.20.100.115:36373,NO USO,NUEVO
34,1.20.100.133:46755,NO USO,NUEVO
35,1.20.100.143:52066,NO USO,NUEVO
36,1.20.100.168:34135,NO USO,NUEVO
37,1.20.100.18:55348,NO USO,NUEVO
38,1.20.100.227:57396,NO USO,NUEVO
39,1.20.100.231:57337,NO USO,NUEVO
40,1.20.100.252:49869,NO USO,NUEVO
41,1.20.100.42:41089,NO USO,NUEVO
42,1.20.100.8:47974,NO USO,NUEVO
43,1.20.101.77:44440,NO USO,NUEVO
44,1.20.103.135:53281,NO USO,NUEVO
45,1.20.103.169:31188,NO USO,NUEVO
46,1.20.103.58:46967,NO USO,NUEVO
47,1.20.169.105:80,NO USO,NUEVO
48,1.20.169.105:8080,NO USO,NUEVO
49,1.20.217.221:8080,NO USO,NUEVO
50,1.20.96.95:48881,NO USO,NUEVO
51,1.20.97.173:46790,NO USO,NUEVO
52,1.20.97.214:38550,NO USO,NUEVO
53,1.20.97.4:52237,NO USO,NUEVO
54,1.20.97.54:60122,NO USO,NUEVO
55,1.20.98.18:8080,NO USO,NUEVO
56,1.20.99.112:53995,NO USO,NUEVO
57,1.20.99.122:8080,NO USO,NUEVO
58,1.20.99.218:36117,NO USO,NUEVO
59,1.20.99.57:58768,NO USO,NUEVO
60,1.20.99.85:56378,NO USO,NUEVO
61,1.234.82.76:80,NO USO,NUEVO
62,1.255.49.75:80,NO USO,NUEVO
63,1.54.133.240:8080,NO USO,NUEVO
64,1.54.133.241:8080,NO USO,NUEVO
65,1.54.133.242:8080,NO USO,NUEVO
66,1.54.133.243:8080,NO USO,NUEVO
67,1.54.133.244:8080,NO USO,NUEVO
68,1.54.133.245:8080,NO USO,NUEVO
69,1.54.133.246:8080,NO USO,NUEVO
70,1.54.133.247:8080,NO USO,NUEVO
71,1.54.133.248:8080,NO USO,NUEVO
72,1.54.133.249:8080,NO USO,NUEVO
73,1.54.133.250:8080,NO USO,NUEVO
74,1.54.133.251:8080,NO USO,NUEVO
75,1.54.133.252:8080,NO USO,NUEVO
76,1.54.133.253:8080,NO USO,NUEVO
77,1.54.133.254:8080,NO USO,NUEVO
78,1.54.133.255:8080,NO USO,NUEVO
79,1.55.240.156:53281,NO USO,NUEVO
80,1.9.216.226:51405,NO USO,NUEVO
81,101.109.116.104:8080,NO USO,NUEVO
82,101.109.255.17:57331,NO USO,NUEVO
83,101.109.255.194:49993,NO USO,NUEVO
84,101.109.255.246:59104,NO USO,NUEVO
85,101.109.255.97:50580,NO USO,NUEVO
86,101.128.68.113:8080,NO USO,NUEVO
87,101.200.143.154:1080,NO USO,NUEVO
88,101.255.103.209:61598,NO USO,NUEVO
89,101.255.116.113:53281,NO USO,NUEVO
90,101.255.116.61:8080,NO USO,NUEVO
91,101.255.117.162:8080,NO USO,NUEVO
92,101.255.120.170:6969,NO USO,NUEVO
93,101.255.121.168:8888,NO USO,NUEVO
94,101.255.121.41:8080,NO USO,NUEVO
95,101.255.124.5:47105,NO USO,NUEVO
96,101.255.16.166:8888,NO USO,NUEVO
97,101.255.32.110:39965,NO USO,NUEVO
98,101.255.32.225:39965,NO USO,NUEVO
99,101.255.40.18:47966,NO USO,NUEVO
100,101.255.64.193:36588,NO USO,NUEVO
101,101.255.64.194:36588,NO USO,NUEVO
102,101.255.64.246:54178,NO USO,NUEVO
103,101.255.64.58:55301,NO USO,NUEVO
104,101.255.85.114:80,NO USO,NUEVO
105,101.255.89.237:8080,NO USO,NUEVO
106,101.255.97.74:53281,NO USO,NUEVO
107,101.51.106.70:51946,NO USO,NUEVO
108,101.51.141.49:57977,NO USO,NUEVO
109,101.51.141.71:34029,NO USO,NUEVO
110,101.71.41.169:443,NO USO,NUEVO
111,102.129.99.86:8080,NO USO,NUEVO
112,102.140.4.14:53281,NO USO,NUEVO
113,102.164.248.51:63238,NO USO,NUEVO
114,102.176.160.70:61279,NO USO,NUEVO
115,102.176.189.13:8080,NO USO,NUEVO
116,102.176.88.66:42031,NO USO,NUEVO
117,102.177.105.34:3128,NO USO,NUEVO
118,102.177.194.26:59042,NO USO,NUEVO
119,102.68.129.6:8080,NO USO,NUEVO
120,103.10.63.30:53281,NO USO,NUEVO
121,103.100.79.2:58942,NO USO,NUEVO
122,103.100.96.174:53281,NO USO,NUEVO
123,103.102.12.161:80,NO USO,NUEVO
124,103.102.12.161:8082,NO USO,NUEVO
125,103.102.12.53:8080,NO USO,NUEVO
126,103.102.12.54:23500,NO USO,NUEVO
127,103.102.67.33:63141,NO USO,NUEVO
128,103.102.73.72:8080,NO USO,NUEVO
129,103.103.212.222:53281,NO USO,NUEVO
130,103.103.33.166:8080,NO USO,NUEVO
131,103.104.58.13:8080,NO USO,NUEVO
132,103.105.212.106:53281,NO USO,NUEVO
133,103.105.239.1:37021,NO USO,NUEVO
134,103.105.40.1:16538,NO USO,NUEVO
