,CADENA,ESTADO,SITUACION
133,103.52.135.126:8080,NO USO,NUEVO
134,103.54.93.186:46021,NO USO,NUEVO
135,103.54.95.141:32915,NO USO,NUEVO
136,103.54.97.229:53281,NO USO,NUEVO
137,103.56.207.230:8080,NO USO,NUEVO
138,103.57.143.246:31050,NO USO,NUEVO
139,103.58.116.94:8080,NO USO,NUEVO
140,103.58.145.18:55951,NO USO,NUEVO
141,103.58.251.179:50368,NO USO,NUEVO
142,103.62.142.214:23500,NO USO,NUEVO
143,103.67.189.172:8080,NO USO,NUEVO
144,103.7.250.58:8080,NO USO,NUEVO
145,103.70.144.113:36002,NO USO,NUEVO
146,103.72.219.52:37478,NO USO,NUEVO
147,103.74.220.47:43678,NO USO,NUEVO
148,103.75.27.138:34201,NO USO,NUEVO
149,103.75.34.158:8080,NO USO,NUEVO
150,103.75.54.98:8080,NO USO,NUEVO
151,103.76.15.28:8080,NO USO,NUEVO
152,103.76.20.155:37929,NO USO,NUEVO
153,103.76.253.156:3128,NO USO,NUEVO
154,103.78.181.225:8080,NO USO,NUEVO
155,103.78.252.108:8080,NO USO,NUEVO
156,103.78.254.50:8080,NO USO,NUEVO
157,103.78.254.53:8080,NO USO,NUEVO
158,103.78.74.170:3128,NO USO,NUEVO
159,103.79.164.156:53281,NO USO,NUEVO
160,103.79.35.149:8080,NO USO,NUEVO
161,103.81.104.138:8080,NO USO,NUEVO
162,103.83.205.57:61577,NO USO,NUEVO
163,103.85.220.98:60289,NO USO,NUEVO
164,103.86.135.42:8080,NO USO,NUEVO
165,103.86.155.102:53281,NO USO,NUEVO
166,103.87.48.138:8080,NO USO,NUEVO
167,103.88.127.209:34927,NO USO,NUEVO
168,103.88.234.70:8080,NO USO,NUEVO
169,103.89.91.80:24011,NO USO,NUEVO
170,103.89.91.84:24011,NO USO,NUEVO
171,103.9.134.65:65301,NO USO,NUEVO
172,103.9.134.97:65301,NO USO,NUEVO
173,103.9.188.143:55070,NO USO,NUEVO
174,103.9.188.151:37974,NO USO,NUEVO
175,103.9.190.206:43442,NO USO,NUEVO
176,103.9.227.211:53281,NO USO,NUEVO
177,103.94.5.54:8080,NO USO,NUEVO
178,103.94.6.69:3128,NO USO,NUEVO
179,103.94.66.85:46103,NO USO,NUEVO
180,103.95.40.211:3128,NO USO,NUEVO
181,104.130.136.210:80,NO USO,NUEVO
182,104.139.71.127:58366,NO USO,NUEVO
183,104.207.145.18:80,NO USO,NUEVO
184,104.221.128.142:3128,NO USO,NUEVO
185,104.248.154.97:1111,NO USO,NUEVO
186,104.248.158.130:8080,NO USO,NUEVO
187,104.248.168.64:3128,NO USO,NUEVO
188,104.248.236.12:8080,NO USO,NUEVO
189,104.248.62.107:3128,NO USO,NUEVO
190,104.248.84.77:3128,NO USO,NUEVO
191,104.248.84.77:8080,NO USO,NUEVO
192,104.248.89.208:3128,NO USO,NUEVO
193,105.23.225.38:61699,NO USO,NUEVO
194,105.235.205.142:8080,NO USO,NUEVO
195,105.255.221.242:8080,NO USO,NUEVO
196,105.255.223.2:8080,NO USO,NUEVO
197,105.28.102.9:44200,NO USO,NUEVO
198,105.30.17.3:53281,NO USO,NUEVO
199,106.249.44.10:3128,NO USO,NUEVO
200,106.75.212.158:8080,NO USO,NUEVO
201,106.75.212.2:8080,NO USO,NUEVO
202,107.165.135.212:1080,NO USO,NUEVO
203,107.174.192.138:80,NO USO,NUEVO
204,107.175.150.83:8080,NO USO,NUEVO
205,109.105.15.235:8080,NO USO,NUEVO
206,109.111.232.237:6666,NO USO,NUEVO
207,109.123.110.250:80,NO USO,NUEVO
208,109.123.4.12:3128,NO USO,NUEVO
209,109.160.53.196:55445,NO USO,NUEVO
210,109.160.86.20:32609,NO USO,NUEVO
211,109.171.107.90:8080,NO USO,NUEVO
212,109.175.11.143:53281,NO USO,NUEVO
213,109.175.6.215:8080,NO USO,NUEVO
214,109.188.128.23:58935,NO USO,NUEVO
215,109.188.80.79:33392,NO USO,NUEVO
216,109.194.1.222:8080,NO USO,NUEVO
217,109.195.250.52:3128,NO USO,NUEVO
218,109.196.143.149:3128,NO USO,NUEVO
219,109.197.188.8:8080,NO USO,NUEVO
220,109.198.110.234:8080,NO USO,NUEVO
221,109.248.249.29:8081,NO USO,NUEVO
222,109.248.249.33:8081,NO USO,NUEVO
223,109.69.209.75:57012,NO USO,NUEVO
224,109.72.230.90:53281,NO USO,NUEVO
225,109.73.188.180:53281,NO USO,NUEVO
226,109.74.135.246:45769,NO USO,NUEVO
227,109.74.46.87:8080,NO USO,NUEVO
228,109.75.140.158:59916,NO USO,NUEVO
229,109.86.199.155:51447,NO USO,NUEVO
230,109.86.213.138:46916,NO USO,NUEVO
231,109.87.40.23:61414,NO USO,NUEVO
232,109.94.101.196:53281,NO USO,NUEVO
233,110.164.58.180:8080,NO USO,NUEVO
234,110.235.204.34:56112,NO USO,NUEVO
235,110.34.192.12:1080,NO USO,NUEVO
236,110.36.239.235:8080,NO USO,NUEVO
237,110.44.114.252:80,NO USO,NUEVO
238,110.44.122.198:8080,NO USO,NUEVO
239,110.44.122.215:8080,NO USO,NUEVO
240,110.49.69.66:8080,NO USO,NUEVO
241,110.5.100.130:39052,NO USO,NUEVO
242,110.52.235.105:9999,NO USO,NUEVO
243,110.52.235.109:9999,NO USO,NUEVO
244,110.52.235.110:9999,NO USO,NUEVO
245,110.52.235.128:9999,NO USO,NUEVO
246,110.52.235.13:9999,NO USO,NUEVO
247,110.52.235.132:9999,NO USO,NUEVO
248,110.52.235.142:9999,NO USO,NUEVO
249,110.52.235.149:9999,NO USO,NUEVO
250,110.52.235.179:9999,NO USO,NUEVO
251,110.52.235.181:9999,NO USO,NUEVO
252,110.52.235.188:9999,NO USO,NUEVO
253,110.52.235.20:9999,NO USO,NUEVO
254,110.52.235.207:9999,NO USO,NUEVO
255,110.52.235.209:9999,NO USO,NUEVO
256,110.52.235.217:9999,NO USO,NUEVO
257,110.52.235.218:9999,NO USO,NUEVO
258,110.52.235.221:9999,NO USO,NUEVO
259,110.52.235.250:9999,NO USO,NUEVO
260,110.52.235.26:9999,NO USO,NUEVO
261,110.52.235.28:9999,NO USO,NUEVO
262,110.52.235.43:9999,NO USO,NUEVO
263,110.52.235.55:9999,NO USO,NUEVO
264,110.52.235.61:9999,NO USO,NUEVO
265,110.52.235.73:9999,NO USO,NUEVO
266,110.52.235.80:9999,NO USO,NUEVO
267,110.52.235.82:9999,NO USO,NUEVO
268,110.52.235.88:9999,NO USO,NUEVO
269,110.74.199.28:8080,NO USO,NUEVO
270,110.74.222.97:41865,NO USO,NUEVO
271,110.77.201.16:41496,NO USO,NUEVO
272,110.78.141.80:8080,NO USO,NUEVO
273,110.78.155.84:8080,NO USO,NUEVO
274,110.93.13.202:34881,NO USO,NUEVO
275,111.118.128.123:8080,NO USO,NUEVO
276,111.118.154.20:53281,NO USO,NUEVO
277,111.125.143.148:8080,NO USO,NUEVO
278,111.198.104.169:808,NO USO,NUEVO
279,111.203.133.96:80,NO USO,NUEVO
280,111.231.98.179:1080,NO USO,NUEVO
281,111.26.9.26:80,NO USO,NUEVO
282,111.67.92.66:8080,NO USO,NUEVO
283,111.75.223.9:30646,NO USO,NUEVO
284,111.93.241.149:3128,NO USO,NUEVO
285,112.14.47.6:52024,NO USO,NUEVO
286,112.78.149.90:8080,NO USO,NUEVO
287,112.85.128.171:9999,NO USO,NUEVO
288,112.85.131.162:9999,NO USO,NUEVO
289,112.85.171.145:9999,NO USO,NUEVO
290,112.87.69.31:9999,NO USO,NUEVO
291,112.87.70.26:9999,NO USO,NUEVO
292,113.10.152.92:3128,NO USO,NUEVO
293,113.11.156.115:8080,NO USO,NUEVO
294,113.161.173.10:3128,NO USO,NUEVO
295,113.164.79.177:46281,NO USO,NUEVO
296,113.166.127.60:8080,NO USO,NUEVO
297,113.53.83.155:42493,NO USO,NUEVO
298,113.53.91.12:53281,NO USO,NUEVO
299,113.54.155.244:1080,NO USO,NUEVO
300,114.110.22.90:43221,NO USO,NUEVO
301,114.134.186.25:35282,NO USO,NUEVO
302,114.134.94.232:32730,NO USO,NUEVO
303,114.199.112.170:23500,NO USO,NUEVO
304,114.239.250.104:9999,NO USO,NUEVO
305,114.30.75.215:52716,NO USO,NUEVO
306,114.30.75.220:61786,NO USO,NUEVO
307,114.31.20.2:8080,NO USO,NUEVO
308,114.31.5.34:52606,NO USO,NUEVO
309,114.55.63.34:808,NO USO,NUEVO
310,114.57.49.242:53281,NO USO,NUEVO
311,115.124.75.228:3128,NO USO,NUEVO
312,115.124.85.18:80,NO USO,NUEVO
313,115.124.86.74:8080,NO USO,NUEVO
314,115.159.151.135:8118,NO USO,NUEVO
315,115.160.156.91:80,NO USO,NUEVO
316,115.178.97.241:23500,NO USO,NUEVO
317,115.238.59.86:49342,NO USO,NUEVO
318,115.28.167.84:1080,NO USO,NUEVO
319,115.29.214.175:8118,NO USO,NUEVO
320,115.70.107.199:8080,NO USO,NUEVO
321,115.78.73.60:3128,NO USO,NUEVO
322,115.85.83.197:8080,NO USO,NUEVO
323,116.0.5.66:33006,NO USO,NUEVO
324,116.193.223.217:8080,NO USO,NUEVO
325,116.196.81.58:3128,NO USO,NUEVO
326,116.197.128.242:43884,NO USO,NUEVO
327,116.197.128.250:8080,NO USO,NUEVO
328,116.208.11.185:9999,NO USO,NUEVO
329,116.209.52.115:9999,NO USO,NUEVO
330,116.209.52.155:9999,NO USO,NUEVO
331,116.209.52.174:9999,NO USO,NUEVO
332,116.209.52.184:9999,NO USO,NUEVO
333,116.209.52.188:9999,NO USO,NUEVO
334,116.209.52.19:9999,NO USO,NUEVO
335,116.209.52.20:9999,NO USO,NUEVO
336,116.209.52.231:9999,NO USO,NUEVO
337,116.209.52.29:9999,NO USO,NUEVO
338,116.209.52.32:9999,NO USO,NUEVO
339,116.209.52.86:9999,NO USO,NUEVO
340,116.209.53.102:9999,NO USO,NUEVO
341,116.209.53.107:9999,NO USO,NUEVO
342,116.209.53.133:9999,NO USO,NUEVO
343,116.209.53.141:9999,NO USO,NUEVO
344,116.209.53.145:9999,NO USO,NUEVO
345,116.209.53.15:9999,NO USO,NUEVO
346,116.209.53.16:9999,NO USO,NUEVO
347,116.209.53.191:9999,NO USO,NUEVO
348,116.209.53.215:9999,NO USO,NUEVO
349,116.209.53.239:9999,NO USO,NUEVO
350,116.209.53.49:9999,NO USO,NUEVO
351,116.209.53.54:9999,NO USO,NUEVO
352,116.209.53.65:9999,NO USO,NUEVO
353,116.209.54.11:9999,NO USO,NUEVO
354,116.209.54.181:9999,NO USO,NUEVO
355,116.209.54.196:9999,NO USO,NUEVO
356,116.209.54.2:9999,NO USO,NUEVO
357,116.209.54.234:9999,NO USO,NUEVO
358,116.209.54.244:9999,NO USO,NUEVO
359,116.209.54.44:9999,NO USO,NUEVO
360,116.209.54.74:9999,NO USO,NUEVO
361,116.209.55.106:9999,NO USO,NUEVO
362,116.209.55.116:9999,NO USO,NUEVO
363,116.209.55.156:9999,NO USO,NUEVO
364,116.209.55.219:9999,NO USO,NUEVO
365,116.209.55.224:9999,NO USO,NUEVO
366,116.209.55.23:9999,NO USO,NUEVO
367,116.209.55.233:9999,NO USO,NUEVO
368,116.209.55.252:9999,NO USO,NUEVO
369,116.209.55.46:9999,NO USO,NUEVO
370,116.209.55.64:9999,NO USO,NUEVO
371,116.209.55.71:9999,NO USO,NUEVO
372,116.209.55.77:9999,NO USO,NUEVO
373,116.209.56.108:9999,NO USO,NUEVO
374,116.209.56.11:9999,NO USO,NUEVO
375,116.209.56.149:9999,NO USO,NUEVO
376,116.209.56.195:9999,NO USO,NUEVO
377,116.209.56.196:9999,NO USO,NUEVO
378,116.209.56.203:9999,NO USO,NUEVO
379,116.209.56.214:9999,NO USO,NUEVO
380,116.209.56.221:9999,NO USO,NUEVO
381,116.209.56.223:9999,NO USO,NUEVO
