,CADENA,ESTADO,SITUACION
0,1.10.187.149:44976,NO USO,NUEVO
1,1.10.187.89:41436,NO USO,NUEVO
2,1.10.188.42:48721,NO USO,NUEVO
3,1.10.189.111:30473,NO USO,NUEVO
4,1.10.189.113:50058,NO USO,NUEVO
5,1.10.189.84:35138,NO USO,NUEVO
6,1.179.148.9:60520,NO USO,NUEVO
7,1.179.164.233:58387,NO USO,NUEVO
8,1.179.181.149:8080,NO USO,NUEVO
9,1.179.183.86:8080,NO USO,NUEVO
10,1.179.183.89:8080,NO USO,NUEVO
11,1.179.188.169:34568,NO USO,NUEVO
12,1.186.40.9:54754,NO USO,NUEVO
13,1.2.169.95:49687,NO USO,NUEVO
14,1.20.100.204:58560,NO USO,NUEVO
15,1.20.100.207:39751,NO USO,NUEVO
16,1.20.100.231:57337,NO USO,NUEVO
17,1.20.100.97:51811,NO USO,NUEVO
18,1.20.101.110:59949,NO USO,NUEVO
19,1.20.101.123:37544,NO USO,NUEVO
20,1.20.101.46:54381,NO USO,NUEVO
21,1.20.102.113:8080,NO USO,NUEVO
22,1.20.102.174:8080,NO USO,NUEVO
23,1.20.102.228:37131,NO USO,NUEVO
24,1.20.102.54:8080,NO USO,NUEVO
25,1.20.102.87:8080,NO USO,NUEVO
26,1.20.102.99:8080,NO USO,NUEVO
27,1.20.103.105:50480,NO USO,NUEVO
28,1.20.103.196:42792,NO USO,NUEVO
29,1.20.103.57:44971,NO USO,NUEVO
30,1.20.103.61:55412,NO USO,NUEVO
31,1.20.96.160:51474,NO USO,NUEVO
32,1.20.96.80:8080,NO USO,NUEVO
33,1.20.96.95:48881,NO USO,NUEVO
34,1.20.97.223:33599,NO USO,NUEVO
35,1.20.97.238:31769,NO USO,NUEVO
36,1.20.98.168:40771,NO USO,NUEVO
37,1.20.99.125:56613,NO USO,NUEVO
38,1.20.99.57:58768,NO USO,NUEVO
39,1.202.245.84:8080,NO USO,NUEVO
40,1.234.82.76:80,NO USO,NUEVO
41,1.255.49.75:80,NO USO,NUEVO
42,1.35.179.36:808,NO USO,NUEVO
43,1.54.133.240:8080,NO USO,NUEVO
44,1.54.133.241:8080,NO USO,NUEVO
45,1.54.133.243:8080,NO USO,NUEVO
46,1.54.133.245:8080,NO USO,NUEVO
47,1.54.133.247:8080,NO USO,NUEVO
48,1.54.133.248:8080,NO USO,NUEVO
49,1.54.133.252:8080,NO USO,NUEVO
50,1.54.133.253:8080,NO USO,NUEVO
51,1.54.133.254:8080,NO USO,NUEVO
52,1.54.133.255:8080,NO USO,NUEVO
53,1.55.240.156:53281,NO USO,NUEVO
54,1.64.197.151:3128,NO USO,NUEVO
55,101.109.143.97:55085,NO USO,NUEVO
56,101.109.176.223:8080,NO USO,NUEVO
57,101.109.176.62:8080,NO USO,NUEVO
58,101.109.255.17:57331,NO USO,NUEVO
59,101.109.255.246:59104,NO USO,NUEVO
60,101.109.83.222:8080,NO USO,NUEVO
61,101.200.48.129:1080,NO USO,NUEVO
62,101.255.56.201:36501,NO USO,NUEVO
63,101.255.64.194:36588,NO USO,NUEVO
64,101.255.64.197:36588,NO USO,NUEVO
65,101.255.64.58:55301,NO USO,NUEVO
66,101.255.85.114:80,NO USO,NUEVO
67,101.51.141.49:57977,NO USO,NUEVO
