,CADENA,ESTADO,SITUACION
0,1.0.181.46:8080,NO USO,NUEVO
1,1.10.185.8:42106,NO USO,NUEVO
2,1.10.186.114:39727,NO USO,NUEVO
3,1.10.186.167:51907,NO USO,NUEVO
4,1.10.186.219:58989,NO USO,NUEVO
5,1.10.187.128:57434,NO USO,NUEVO
6,1.10.187.13:51064,NO USO,NUEVO
7,1.10.187.221:33042,NO USO,NUEVO
8,1.10.187.232:36819,NO USO,NUEVO
9,1.10.187.241:58364,NO USO,NUEVO
10,1.10.187.60:55266,NO USO,NUEVO
11,1.10.187.61:34783,NO USO,NUEVO
12,1.10.188.132:8080,NO USO,NUEVO
13,1.10.188.214:42594,NO USO,NUEVO
14,1.10.188.25:8080,NO USO,NUEVO
15,1.10.188.29:56461,NO USO,NUEVO
16,1.10.188.42:48721,NO USO,NUEVO
17,1.10.188.77:56137,NO USO,NUEVO
18,1.10.189.100:50169,NO USO,NUEVO
19,1.10.189.112:42669,NO USO,NUEVO
20,1.10.189.20:43754,NO USO,NUEVO
21,1.10.189.5:34218,NO USO,NUEVO
22,1.10.189.65:45088,NO USO,NUEVO
23,1.10.189.68:60400,NO USO,NUEVO
24,1.10.189.7:40518,NO USO,NUEVO
25,1.10.189.84:35138,NO USO,NUEVO
26,1.10.229.249:8080,NO USO,NUEVO
27,1.179.144.41:8080,NO USO,NUEVO
28,1.179.183.89:8080,NO USO,NUEVO
29,1.179.198.37:8080,NO USO,NUEVO
30,1.179.206.201:47637,NO USO,NUEVO
31,1.186.192.242:37562,NO USO,NUEVO
32,1.2.169.101:47477,NO USO,NUEVO
33,1.2.169.28:33857,NO USO,NUEVO
34,1.2.169.34:8080,NO USO,NUEVO
35,1.2.169.59:31897,NO USO,NUEVO
36,1.2.169.60:49560,NO USO,NUEVO
37,1.2.169.95:49687,NO USO,NUEVO
38,1.20.100.115:36373,NO USO,NUEVO
39,1.20.100.122:58689,NO USO,NUEVO
40,1.20.100.143:52066,NO USO,NUEVO
41,1.20.100.168:34135,NO USO,NUEVO
42,1.20.100.18:55348,NO USO,NUEVO
43,1.20.100.195:61802,NO USO,NUEVO
44,1.20.100.199:39513,NO USO,NUEVO
45,1.20.100.219:39043,NO USO,NUEVO
46,1.20.100.229:55052,NO USO,NUEVO
47,1.20.100.231:57337,NO USO,NUEVO
48,1.20.100.242:61957,NO USO,NUEVO
49,1.20.100.33:47491,NO USO,NUEVO
50,1.20.100.42:41089,NO USO,NUEVO
51,1.20.100.8:47974,NO USO,NUEVO
52,1.20.100.93:34926,NO USO,NUEVO
53,1.20.100.97:51811,NO USO,NUEVO
54,1.20.101.110:59949,NO USO,NUEVO
55,1.20.101.118:54880,NO USO,NUEVO
56,1.20.101.123:37544,NO USO,NUEVO
57,1.20.101.201:45863,NO USO,NUEVO
58,1.20.101.221:55707,NO USO,NUEVO
59,1.20.101.90:37006,NO USO,NUEVO
60,1.20.102.102:38816,NO USO,NUEVO
61,1.20.102.110:8080,NO USO,NUEVO
62,1.20.102.116:8080,NO USO,NUEVO
63,1.20.102.162:50542,NO USO,NUEVO
64,1.20.102.174:8080,NO USO,NUEVO
65,1.20.102.99:8080,NO USO,NUEVO
66,1.20.103.105:50480,NO USO,NUEVO
67,1.20.103.248:52574,NO USO,NUEVO
68,1.20.103.253:58133,NO USO,NUEVO
69,1.20.103.61:55412,NO USO,NUEVO
70,1.20.217.221:8080,NO USO,NUEVO
71,1.20.96.185:8080,NO USO,NUEVO
72,1.20.96.198:42797,NO USO,NUEVO
73,1.20.97.122:44279,NO USO,NUEVO
74,1.20.97.223:33599,NO USO,NUEVO
75,1.20.97.54:60122,NO USO,NUEVO
76,1.20.98.18:8080,NO USO,NUEVO
77,1.20.98.57:55679,NO USO,NUEVO
78,1.20.98.66:8080,NO USO,NUEVO
79,1.20.99.104:37003,NO USO,NUEVO
80,1.20.99.125:56613,NO USO,NUEVO
81,1.20.99.129:8080,NO USO,NUEVO
82,1.20.99.176:47005,NO USO,NUEVO
83,1.20.99.178:34781,NO USO,NUEVO
84,1.20.99.218:36117,NO USO,NUEVO
85,1.20.99.23:54067,NO USO,NUEVO
86,1.20.99.32:55064,NO USO,NUEVO
87,1.20.99.85:56378,NO USO,NUEVO
88,1.20.99.89:31799,NO USO,NUEVO
89,1.202.245.84:8080,NO USO,NUEVO
90,1.234.82.76:80,NO USO,NUEVO
91,1.255.49.75:80,NO USO,NUEVO
92,1.34.146.163:30086,NO USO,NUEVO
93,1.4.223.93:8080,NO USO,NUEVO
94,1.55.240.156:53281,NO USO,NUEVO
95,101.108.120.184:8080,NO USO,NUEVO
96,101.108.92.64:35041,NO USO,NUEVO
97,101.109.116.104:8080,NO USO,NUEVO
98,101.109.143.97:55085,NO USO,NUEVO
99,101.109.255.243:49647,NO USO,NUEVO
